15	0
74	5
113	8
1008	8
1047	11
1066	12
1085	13
1239	0
1288	4
2089	0
2128	3
2197	9
2226	11
2245	12
2264	13
2272	13
3059	8
3067	8
3096	10
3125	12
3144	13
3152	13
3171	14
3210	17
3389	0
4119	11
4239	0
4278	3
4337	8
5119	1
5188	7
5207	8
5236	10
5265	12
5284	13
5292	13
6159	0
6248	8
6267	9
6286	10
6325	13
6333	13
6341	13
6360	14
6389	16
7249	0
7288	3
7357	9
8008	9
8027	10
8219	1
8288	7
9149	1
10079	0
10158	7
10177	8
10216	11
10235	12
11109	2
11188	9
11207	10
11236	12
11255	13
11394	0
12089	8
12118	10
12147	12
12166	13
12295	1
12344	5
13049	1
13098	5
13147	9
13166	10
13185	11
13214	13
13222	13
13251	15
14059	10
14088	12
14107	13
14115	13
14134	14
14173	17
14342	1
14381	4
14430	8
15019	9
15038	10
15077	13
15085	13
15224	0
15263	3
16139	16
16298	1
16367	7
16396	9
16415	10
16454	13
16462	13
16470	13
17169	1
17248	8
17267	9
17296	11
17315	12
17334	13
18179	0
18208	2
18277	8
18306	10
18345	13
18353	13
18361	13
18380	14
19089	6
19128	9
19147	10
19176	12
19305	0
20139	13
20278	0
20357	7
20386	9
20405	10
20444	13
20452	13
21199	0
21278	7
21307	9
21326	10
21365	13
21373	13
22119	2
22198	9
22227	11
22256	13
22264	13
22272	13
22301	15
22340	18
22529	0
23119	11
23239	0
23308	6
23337	8
24109	0
24168	5
24217	9
24236	10
24255	11
24284	13
24292	13
25159	0
25218	5
25267	9
25286	10
25325	13
25333	13
25341	13
26029	11
26048	12
26067	13
26075	13
26094	14
26233	1
26282	5
26321	8
27019	9
27038	10
27077	13
27229	1
27268	4
28099	13
28238	0
28267	2
28346	9
28365	10
28394	12
28413	13
29049	9
29209	1
29268	6
29307	9
30049	13
30078	15
30227	1
30286	6
30325	9
30344	10
30383	13
30391	13
31189	1
31248	6
31277	8
31316	11
31345	13
31353	13
32149	1
32198	5
32247	9
32266	10
32305	13
33139	0
33198	5
33247	9
33276	11
33305	13
33313	13
33321	13
33329	13
33388	18
34059	13
34078	14
34117	17
34296	0
34355	5
34404	9
34433	11
34462	13
34470	13
35129	1
35168	4
35227	9
35246	10
35275	12
35294	13
35302	13
35331	15
35360	17
36049	13
36178	1
36197	2
36276	9
36295	10
36324	12
36343	13
36351	13
37019	12
37038	13
37046	13
37085	16
37104	17
37283	0
37352	6
37381	8
37410	10
38039	13
38189	1
38238	5
38287	9
38316	11
38335	12
38354	13
39029	15
39199	0
39258	5
39297	8
39326	10
39355	12
39374	13
39382	13
40049	9
40068	10
40087	11
40116	13
40255	0
40304	4
41049	0
41088	3
41147	8
41186	11
41205	12
41224	13
41232	13
42039	10
42068	12
42087	13
42095	13
42134	16
42153	17
42322	1
42401	8
42420	9
43008	9
43027	10
43219	1
43238	2
44099	1
44158	6
44187	8
44216	10
45109	0
45178	6
45217	9
45246	11
45265	12
45284	13
45292	13
45311	14
45350	17
46049	13
46078	15
46227	1
46286	6
46325	9
46354	11
46383	13
46391	13
47008	13
47016	13
47065	17
47234	1
47293	6
47332	9
47351	10
47370	11
47399	13
48129	1
48198	7
48227	9
48256	11
48275	12
48294	13
48302	13
49129	1
49198	7
50019	8
50039	9
50068	11
50097	13
50105	13
50259	0
51139	13
51147	13
51286	0
51315	2
51394	9
51423	11
51442	12
52019	11
52048	13
52056	13
52075	14
52104	16
52273	0
52342	6
52381	9
52410	11
53079	18
53268	0
53337	6
53376	9
53395	10
53424	12
53443	13
53451	13
53470	14
54079	7
54108	9
54239	0
55129	12
55148	13
55156	13
55185	15
55214	17
55383	1
55452	7
55481	9
55510	11
56099	2
56178	9
56197	10
56216	11
56245	13
56374	1
57119	0
57188	6
57227	9
57246	10
57275	12
58119	1
58178	6
58217	9
58246	11
58254	11
58283	13
58291	13
58320	15
58359	18
59189	0
59248	5
59297	9
59316	10
60109	0
60168	5
60217	9
60236	10
60275	13
60283	13
60291	13
60310	14
60359	18
61179	1
61218	4
61267	8
61296	10
61325	12
62029	10
62219	1
62238	2
62307	8
63059	13
63098	16
63127	18
63316	0
63385	6
63414	8
63453	11
63472	12
63491	13
64008	13
64039	14
64078	17
64257	0
64336	7
64365	9
64384	10
64413	12
64432	13
65069	7
65088	8
65117	10
65229	0
66139	13
66268	1
66287	2
66366	9
66385	10
66414	12
67069	18
67248	1
67297	5
67336	8
67365	10
67394	12
67413	13
67421	13
67450	15
68159	0
68218	5
68267	9
